2018	03	27	BH	TM	4	0	SQ		15	1417	1244	+4	−7	102	151
2018	12	25	TM	AF	2	0	F	TR	12	1256	1150	+5	−1	146	171
2018	12	28	AF	TM	2	2	F	TR	3	1153	1253	0	−2	171	148
2019	01	09	JP	TM	3	2	AC	AE	3	1733	1250	0	−1	35	150
2019	01	13	UZ	TM	4	0	AC	AE	10	1622	1240	+4	−2	51	152
2019	01	17	OM	TM	3	1	AC	AE	13	1518	1227	+3	0	79	152
2019	06	09	TM	UG	0	0	F	AE	5	1232	1431	+4	0	148	97
2019	09	05	LK	TM	0	2	WQS		-4	681	1236	0	+1	224	149
2019	09	10	TM	KR	0	2	WQS		-4	1232	1785	0	0	148	24
2019	10	10	LB	TM	2	1	WQS		7	1399	1225	+2	−2	104	150
2019	10	15	KW	TM	1	1	F		-7	1421	1232	−3	+2	101	150
2019	11	14	TM	KP	3	1	WQS		36	1268	1370	+6	−7	142	111
2019	11	19	TM	LK	2	0	WQS		1	1269	675	+2	0	140	226
2021	05	26	UZ	TM	2	1	F		2	1554	1267	+1	−1	69	141
2021	06	05	KR	TM	5	0	WQS		3	1762	1264	+1	−1	29	141
2021	06	09	TM	LB	3	2	WQS	KR	27	1291	1363	+6	−11	135	116
2022	05	27	TH	TM	1	0	F		4	1410	1287	0	−1	99	137
2022	06	08	MY	TM	3	1	SQ		32	1199	1255	+7	−12	161	147
2022	06	11	TM	BD	2	1	SQ	MY	4	1259	848	+1	+1	146	205
2022	06	14	BH	TM	1	0	SQ	MY	7	1523	1252	0	−3	78	149
2023	03	23	MY	TM	1	0	F		7	1248	1245	+3	−3	148	151
2023	06	11	TJ	TM	1	1	CNU	UZ	-5	1321	1250	−4	+2	128	148
2023	06	14	UZ	TM	2	0	CNU		4	1619	1246	+1	−2	56	150
2023	06	17	OM	TM	2	0	CNU	UZ	8	1571	1238	0	−4	67	153
2023	09	08	ID	TM	2	0	F		9	1296	1229	+2	−1	138	154
2023	09	12	BH	TM	1	1	F	AE	-6	1476	1235	−3	0	88	154
2023	11	16	TM	UZ	1	3	WQS		-9	1226	1635	0	+4	155	51
2023	11	21	HK	TM	2	2	WQS		4	1067	1222	0	−2	179	158
2024	03	14	KZ	TM	2	0	F	AE	6	1487	1216	+2	0	86	159
